solver,mode,converged,solve_time_s,obj_val
socp_opf,opf,True,0.109880,4540.536185
dc_opf,opf,True,0.003218,4493.500000
pp_acpf,pf,True,0.965825,
pp_dcopf,opf,True,0.011663,
pp_acopf,acopf,True,0.061588,4540.535192

bus_name,socp_opf_vmag,dc_opf_vmag,pp_acpf_vmag,pp_dcopf_vmag,pp_acopf_vmag,socp_opf_vang_deg,dc_opf_vang_deg,pp_acpf_vang_deg,pp_dcopf_vang_deg,pp_acopf_vang_deg
L10-11,1.000000,-0.000000,no,
L11-12,1.000000,-0.000000,no,
L12-13,1.000000,-0.000000,yes,0.000000
L13-14,1.000000,-0.000000,no,
L14-15,1.000000,-0.000000,no,
L15-16,1.000000,-0.000000,no,
L16-17,1.000000,-0.000000,no,
L17-18,1.000000,-0.000000,no,
L18-19,1.000000,-0.000000,no,
L19-20,1.000000,-0.000000,no,
L20-21,1.000000,-0.000000,no,
L21-22,1.000000,-0.000000,no,
L22-01,1.000000,-0.000000,no,
