step,modifier_LD2,V_One_pu,angle_One_deg,V_Two_pu,angle_Two_deg,converged,iterations,max_mismatch
1.0,1.0,1.0,0.0,0.8553928139343188,-13.520904173120845,True,3,5.767201992723514e-05
2.0,0.75,1.0,0.0,0.9030581372320762,-9.561246738851281,True,3,2.977275519455702e-06
3.0,0.5,1.0,0.0,0.941325389735102,-6.094734058422592,True,2,0.0004437352504602643
4.0,0.75,1.0,0.0,0.9030581372320762,-9.561246738851281,True,3,2.977275519455702e-06
5.0,1.0,1.0,0.0,0.8553928139343188,-13.520904173120845,True,3,5.767201992723514e-05
